group,t,S
overall,1.0094333333333334,0.9997108991037872
overall,1.0338238833333333,0.9994217982075744
overall,1.05055,0.9991326973113617
overall,1.08053705,0.9988435964151489
overall,1.0946760500000001,0.998554495518936
overall,1.17185,0.9982653946227232
overall,1.2000166666666667,0.9979762937265104
overall,1.20292415,0.9976871928302976
overall,1.2535275166666666,0.9973980919340848
overall,1.26526015,0.997108991037872
overall,1.2778825666666667,0.9968198901416592
overall,1.2892694833333331,0.9965307892454465
overall,1.3184935833333333,0.9962416883492337
overall,1.4245817833333334,0.9959525874530208
overall,1.5017334166666667,0.9956634865568081
overall,1.56152965,0.9953743856605953
overall,1.58805,0.9950852847643826
overall,1.6053822999999998,0.9947961838681698
overall,1.6786465666666668,0.994507082971957
overall,1.7148693166666669,0.9942179820757443
overall,1.7176543333333332,0.9939288811795315
overall,1.7318844333333334,0.9936397802833187
overall,1.7737666666666667,0.9933506793871059
overall,1.8005833333333332,0.9930615784908932
overall,1.8039698333333334,0.9927724775946803
overall,1.8313234166666668,0.9924833766984675
overall,1.8602064833333332,0.9921942758022547
overall,1.9152,0.991905174906042
overall,1.9296002833333332,0.9916160740098292
overall,1.9375833333333332,0.9913269731136164
overall,1.9894772,0.9910378722174037
overall,2.026038183333333,0.9907487713211909
overall,2.0421352666666666,0.9904596704249781
overall,2.0504059,0.9901705695287653
overall,2.081383333333333,0.9898814686325524
overall,2.1127926833333333,0.9895923677363396
overall,2.1166342,0.9893032668401269
overall,2.1333690666666665,0.9890141659439142
overall,2.195204283333333,0.9887250650477015
overall,2.2310387166666668,0.9884359641514888
overall,2.23285,0.9881468632552761
overall,2.2634015499999998,0.9878577623590633
overall,2.269037,0.9875686614628505
overall,2.2817703166666665,0.9872795605666377
overall,2.318516516666667,0.9869904596704249
overall,2.348085033333333,0.9867013587742121
overall,2.3584172666666663,0.9864122578779994
overall,2.361166116666667,0.9861231569817865
overall,2.372983333333333,0.9858340560855737
overall,2.4512035666666665,0.985544955189361
overall,2.4556867833333333,0.9852558542931482
overall,2.5054130166666666,0.9849667533969354
overall,2.5198166666666664,0.9846776525007227
overall,2.5229375,0.9843885516045099
overall,2.5509378833333334,0.9840994507082972
overall,2.588083333333333,0.9838103498120844
overall,2.606119833333333,0.9835212489158716
overall,2.6236583,0.9832321480196587
overall,2.6516332666666664,0.9829430471234459
overall,2.677833333333333,0.9826539462272332
overall,2.7102500000000003,0.9823648453310204
overall,2.7310666666666665,0.9820757444348077
overall,2.7560000000000002,0.981786643538595
overall,2.7855397,0.9814975426423822
overall,2.8478333333333334,0.9812084417461694
overall,2.852992233333333,0.9809193408499566
overall,3.0139137333333332,0.9806302399537439
overall,3.10067255,0.9803411390575311
overall,3.140068266666667,0.9800520381613183
overall,3.172573133333333,0.9797629372651054
overall,3.21337185,0.9794738363688926
overall,3.2735072166666668,0.9791847354726798
overall,3.3119588500000003,0.9788956345764671
overall,3.3870666666666667,0.9786065336802543
overall,3.3893408166666665,0.9783174327840415
overall,3.437997633333333,0.9780283318878288
overall,3.4467353833333334,0.977739230991616
overall,3.5082734833333333,0.9774501300954032
overall,3.5206999999999997,0.9771610291991903
overall,3.5276909833333336,0.9768719283029775
overall,3.5625392166666665,0.9765828274067647
overall,3.5981080333333333,0.9762937265105519
overall,3.73901635,0.9760046256143391
overall,3.7787415666666666,0.9757155247181263
overall,3.8101085833333332,0.9754264238219135
overall,3.8131514166666665,0.9751373229257007
overall,4.012004933333333,0.9748482220294878
overall,4.0160994500000005,0.9745591211332751
overall,4.05119445,0.9742700202370623
overall,4.0572209,0.9739809193408495
overall,4.059924333333333,0.9736918184446368
overall,4.119737566666667,0.973402717548424
overall,4.185284566666667,0.9731136166522112
overall,4.2056000000000004,0.9728245157559984
overall,4.311332166666667,0.9725354148597856
overall,4.357959916666667,0.9722463139635728
overall,4.3907913333333335,0.9719572130673599
overall,4.450959783333333,0.9716681121711471
overall,4.514547266666667,0.9713790112749343
overall,4.565127216666666,0.9710899103787215
overall,4.56995985,0.9708008094825088
overall,4.570926633333333,0.9705117085862961
overall,4.576298216666667,0.9702226076900833
overall,4.599644433333333,0.9699335067938705
overall,4.666376866666667,0.9696444058976577
overall,4.75885,0.9693553050014448
overall,4.77378955,0.9690662041052321
overall,4.885507283333333,0.9687771032090193
overall,4.8932101999999995,0.9684880023128065
overall,5.132183783333333,0.9681989014165937
overall,5.181943216666666,0.9679098005203809
overall,5.209710783333334,0.9676206996241681
overall,5.308476433333333,0.9673315987279553
overall,5.430316666666667,0.9670424978317426
overall,5.4551318,0.9667533969355298
overall,5.467024883333334,0.9664642960393169
overall,5.492729283333333,0.9661751951431041
overall,5.5721584166666664,0.9658860942468913
overall,5.5782576666666674,0.9655969933506785
overall,5.6324983500000005,0.9653078924544658
overall,5.650573433333333,0.965018791558253
overall,5.682947016666666,0.9647296906620402
overall,5.6882595333333335,0.9644405897658274
overall,5.7625422166666675,0.9641514888696145
overall,5.8399833333333335,0.9638623879734018
overall,5.945583333333333,0.963573287077189
overall,6.02780025,0.9632841861809763
overall,6.048961883333333,0.9629950852847636
overall,6.084086783333333,0.9627059843885508
overall,6.093109766666667,0.9624168834923381
overall,6.094190583333333,0.9621277825961253
overall,6.159646333333333,0.9618386816999126
overall,6.22358535,0.9615495808036998
overall,6.232070666666667,0.961260479907487
overall,6.283415033333333,0.9609713790112742
overall,6.290766016666667,0.9606822781150615
overall,6.304003066666667,0.9603931772188486
overall,6.343955466666667,0.9601040763226358
overall,6.345362283333333,0.9598149754264231
overall,6.392379616666667,0.9595258745302103
overall,6.410764866666667,0.9592367736339975
overall,6.4347744166666665,0.9589476727377847
overall,6.4820150000000005,0.9586585718415719
overall,6.507784116666667,0.9583694709453592
overall,6.511275816666667,0.9580803700491464
overall,6.547450666666666,0.9577912691529336
overall,6.5506378666666665,0.9575021682567207
overall,6.5536546666666675,0.957213067360508
overall,6.593964850000001,0.9569239664642953
overall,6.63138725,0.9566348655680825
overall,6.640204833333333,0.9563457646718697
overall,6.682272983333333,0.9560566637756569
overall,6.703687566666667,0.9557675628794441
overall,6.72095,0.9554784619832313
overall,6.759156316666666,0.9551893610870185
overall,6.82868555,0.9549002601908056
overall,6.8494496,0.954611159294593
overall,6.931877533333333,0.9543220583983802
overall,6.968827316666666,0.9540329575021674
overall,6.989937633333333,0.9537438566059547
overall,7.1787815833333335,0.9534547557097419
overall,7.317652333333333,0.9531656548135291
overall,7.330868683333334,0.9528765539173163
overall,7.371330166666667,0.9525874530211035
overall,7.44461345,0.9522983521248907
overall,7.453080083333333,0.9520092512286779
overall,7.489767433333333,0.9517201503324652
overall,7.529350916666667,0.9514310494362523
overall,7.5481027166666665,0.9511419485400395
overall,7.550525633333334,0.9508528476438267
overall,7.5970218833333325,0.9505637467476139
overall,7.642841166666667,0.9502746458514011
overall,7.651399833333333,0.9499855449551884
overall,7.709397766666667,0.9496964440589757
overall,7.7180967,0.9494073431627629
overall,7.866056400000001,0.9491182422665501
overall,7.899234916666667,0.9488291413703372
overall,7.900588366666667,0.9485400404741245
overall,7.910359416666666,0.9482509395779118
overall,7.9433346333333334,0.9479618386816991
overall,7.989997,0.9476727377854863
overall,8.114047366666666,0.9473836368892735
overall,8.1381474,0.9470945359930608
overall,8.205007316666666,0.946805435096848
overall,8.213493783333332,0.9465163342006352
overall,8.242330166666667,0.9462272333044225
overall,8.331595366666667,0.9459381324082097
overall,8.368193383333333,0.9456490315119969
overall,8.3890527,0.945359930615784
overall,8.410828716666666,0.9450708297195712
overall,8.450361483333333,0.9447817288233584
overall,8.499521283333333,0.9444926279271457
overall,8.523106283333332,0.9442035270309329
overall,8.53112645,0.9439144261347202
overall,8.552649733333334,0.9436253252385074
overall,8.5709438,0.9433362243422946
overall,8.620181266666666,0.9430471234460819
overall,8.650822833333333,0.9427580225498691
